-293,-83,-209
-300,-66,-208
-304,-60,-210
-316,-6,-178
-172,-94,-92
-186,-100,-106
-202,-90,-110
-257,-65,-143
-260,206,-156
-187,297,-193
-100,340,-228
-36,308,-204
-151,325,-213
-286,-92,-198
-242,-110,-170
-169,-139,-131
-32,-142,-112
97,-35,-117
135,83,-141
123,149,-181
53,297,-247
-31,357,-401
-109,261,-565
-80,120,-614
-36,232,-582
29,187,-573
-53,159,-609
-32,188,-596
143,157,-407
22,354,-350
-40,350,-276
-38,276,-170
-133,151,-81
-173,19,-69
-53,-143,-107
51,-173,-235
105,-147,-307
-143,-201,-251
-65,289,-185
138,236,-298
190,30,-338
15,137,-581
-113,225,-585
-221,307,-521
-123,349,-497
-16,372,-362
-23,345,-261
98,230,-488
119,191,-479
124,146,-500
82,10,-506
24,-138,-404
57,-135,-337
100,-114,-302
95,-137,-257
93,-157,-279
89,-107,-435
-42,-100,-518
-35,-109,-523
-25,-139,-521
-16,-134,-496
-5,-193,-433
-12,-254,-282
-37,-225,-125
-73,-197,-93
-119,-259,-169
38,-224,-352
92,-190,-414
56,-202,-426
83,-127,-469
78,-20,-548
115,-21,-515
24,-10,-574
-43,-31,-585
-126,-6,-640
-258,94,-644
-302,366,-532
-105,489,-443
149,475,-323
-282,446,-512
-430,248,-540
-394,4,-528
-312,-106,-510
-259,-199,-455
-200,-186,-480
-233,-197,-447
110,-264,-300
218,30,-366
130,130,-492
99,199,-509
37,285,-535
-123,359,-539
-293,279,-533
-333,253,-523
-364,314,-370
-452,138,-284
-309,191,-505
-253,305,-453
-319,307,-387
-321,251,-441
76,290,-412
98,304,-418
149,229,-323
154,236,-364
-16,378,-374
-142,388,-362
-174,374,-328
-51,381,-413
-2,362,-452
110,244,-474
134,206,-446
98,262,-300
99,209,-209
228,206,-384
-1072,-1970,12
-1116,-1956,-296
-332,-1220,-698
181,357,-449
99,-83,-145
106,-144,-356
129,21,-481
91,57,-531
116,168,-494
95,311,-361
111,283,-263
105,253,-259
159,167,-423
157,135,-433
140,8,-402
62,-174,-238
-237,-97,-89
113,219,-41
54,42,-22
-43,-5,-23
-101,183,-83
-30,324,-220
-95,373,-317
5,351,-309
99,285,-305
161,207,-253
182,150,-204
130,10,-92
56,44,-42
102,68,-74
53,325,-275
100,304,-266
87,289,-223
-109,311,-187
-241,259,-203
-322,118,-244
-214,-142,-182
-103,-123,-71
-28,-70,-38
79,-79,-117
141,-39,-149
104,252,-218
-65,333,-247
-123,309,-207
-138,274,-168
-105,289,-169
75,319,-357
169,173,-403
154,-108,-276
137,-89,-157
72,-90,-98
133,23,-99
163,239,-329
157,253,-373
181,233,-333
157,281,-339
164,18,-418
-42,-142,-450
-221,-143,-367
-145,-27,-61
-70,224,-96
193,273,-169
-121,73,-39
-66,-188,-192
-29,-91,-493
120,54,-496
43,267,-507
91,239,-461
37,341,-325
-76,292,-168
-187,271,-209
-196,324,-334
-125,327,-481
-135,197,-603
-132,-72,-538
9,99,-597
122,226,-460
185,163,-331
15,189,-581
-164,58,-590
-253,11,-513
-331,-17,-339
-340,96,-396
-16,324,-468
-321,181,-287
-330,104,-370
-76,350,-362
-180,328,-320
-177,323,-307
-3,217,-129
59,141,-91
133,-99,-309
106,-20,-558
32,196,-578
-63,133,-579
-259,57,-519
-257,227,-503
-210,312,-488
-276,232,-482
-277,115,-517
-209,127,-557
-161,231,-569
-85,345,-483
-130,368,-428
-111,377,-413
-86,356,-436
-50,350,-438
75,277,-465
-71,355,-453
-64,362,-392
-23,357,-429
4,366,-348
7,307,-209
-28,140,-70
-83,83,-47
-196,8,-76
-144,-56,-62
-28,-194,-248
-43,-167,-389
-105,-53,-521
-89,-13,-537
-324,74,-434
-313,225,-351
-260,262,-266
-316,200,-250
-299,155,-207
-219,23,-109
-149,-119,-101
-25,-161,-137
51,-177,-233
50,-180,-320
-101,-215,-295
-157,-187,-243
-8,-172,-164
49,-155,-165
-114,-196,-194
-321,-21,-315
-352,108,-354
-348,66,-430
-306,-56,-360
-135,-195,-237
-157,-183,-247
-65,-199,-333
37,-143,-131
52,4,-48
180,132,-192
206,68,-244
-72,-156,-410
-218,-108,-418
-167,147,-605
-114,86,-602
-93,217,-605
-162,336,-488
-236,346,-334
-308,260,-366
-335,201,-341
-327,109,-475
-272,290,-438
-317,227,-311
-340,90,-270
-138,310,-194
-313,241,-383
-334,2,-340
-216,-66,-464
-124,-56,-508
-128,-100,-460
-124,-104,-452
-182,-80,-454
-290,152,-504
-187,105,-569
73,199,-541
-243,173,-533
-250,2,-496
-225,147,-541
-240,-86,-174
-179,-55,-497
88,-26,-144
-13,245,-613
72,100,-604
-870,-234,-62
123,211,-331
16,-384,158
166,-34,-310
109,25,-473
95,211,-233
78,244,-584
172,206,-336
-2182,-216,5424
166,226,-272
95,193,-191
125,179,-467
102,132,-526
178,72,-446
187,-21,-243
86,-104,-150
-20,-206,-286
-57,-183,-381
-30,-194,-368
-85,-63,-545
-101,-99,-515
-93,-167,-133
-106,-178,-380
-112,-166,-422
-150,-124,-478
-153,-199,-281
-152,-186,-258
-140,-124,-496
-30,-214,-288
36,-98,-102
122,-120,-246
157,-61,-357
134,-108,-318
77,-59,-105
73,-23,-81
149,-91,-225
144,-202,-224
137,-435,-243
-23,-51,-61
-68,14,-44
-28,-48,-40
